comp,y
Pr6Zn2Ta2Mn6O24,-3.495
Pr6Zn2Ti2Mn6O24,-3.345
Pr6Zn2Zr2Mn6O24,-3.346
Pr6Zn2Ni8O24,-1.715
Pr6Zn2Hf2Ni6O24,-2.157
Pr6Zn2Nb2Ni6O24,-2.319
Pr6Zn2Ta2Ni6O24,-2.32
Pr6Zn2Ti2Ni6O24,-2.237
Pr6Zn2Zr2Ni6O24,-2.174
La1Pr4Zn3Co8O24,-2.458
La1Pr4Zn3Fe8O24,-2.88
La1Pr4Zn3Mn8O24,-3.111
La1Pr4Zn3Ni8O24,-1.908
Sr7Zn1Co8O24,-1.939
Sr7Zn1Fe8O24,-2.23
Sr7Zn1Mn8O24,-1.864
Sr7Zn1Ni8O24,-1.247
Sr6Zn2Co8O24,-1.864
Sr6Zn2Hf2Co6O24,-1.821
Sr6Zn2Nb2Co6O24,-2.066
Sr6Zn2Ta2Co6O24,-2.062
Sr6Zn2Ti2Co6O24,-1.891
Sr6Zn2Zr2Co6O24,-1.835
Sr6Zn2Fe8O24,-2.149
Sr6Zn2Hf2Fe6O24,-2.097
Sr6Zn2Nb2Fe6O24,-2.356
Sr6Zn2Ta2Fe6O24,-2.405
Sr6Zn2Ti2Fe6O24,-2.209
Sr6Zn2Zr2Fe6O24,-2.129
Sr6Zn2Mn8O24,-1.83
Sr6Zn2Hf2Mn6O24,-1.845
Sr6Zn2Mn6Nb2O24,-2.634
Sr6Zn2Ta2Mn6O24,-2.692
Sr6Zn2Ti2Mn6O24,-1.935
Sr6Zn2Zr2Mn6O24,-1.839
Sr6Zn2Ni8O24,-1.198
Sr6Zn2Hf2Ni6O24,-1.269
Sr6Zn2Nb2Ni6O24,-1.635
Sr6Zn2Ta2Ni6O24,-1.657
Sr6Zn2Ti2Ni6O24,-1.323
Sr6Zn2Zr2Ni6O24,-1.293
Sr4La1Zn3Co8O24,-2.122
Sr4La1Zn3Fe8O24,-2.398
Sr4La1Zn3Mn8O24,-2.429
Sr4La1Zn3Ni8O24,-1.529
Y7Zn1Co8O24,-2.56
Y7Zn1Fe8O24,-3.133
Y7Zn1Mn8O24,-3.523
Y7Zn1Ni8O24,-2.186
Y6Zn2Co8O24,-2.445
Y6Zn2Hf2Co6O24,-2.715
Y6Zn2Nb2Co6O24,-3.057
Y6Zn2Ta2Co6O24,-3.033
Y6Zn2Ti2Co6O24,-2.743
Y6Zn2Zr2Co6O24,-2.609
Y6Zn2Fe8O24,-2.969
Y6Zn2Hf2Fe6O24,-3.075
Y6Zn2Nb2Fe6O24,-3.284
Y6Zn2Ta2Fe6O24,-3.542
Y6Zn2Ti2Fe6O24,-2.974
Y6Zn2Zr2Fe6O24,-2.908
Y6Zn2Mn8O24,-3.33
Y6Zn2Hf2Mn6O24,-3.512
Y6Zn2Mn6Nb2O24,-3.632
Y6Zn2Ta2Mn6O24,-3.657
Y6Zn2Ti2Mn6O24,-3.462
Y6Zn2Zr2Mn6O24,-3.508
Y6Zn2Ni8O24,-1.913
Y6Zn2Hf2Ni6O24,-2.31
Y6Zn2Nb2Ni6O24,-2.449
Y6Zn2Ta2Ni6O24,-2.453
Y6Zn2Ti2Ni6O24,-2.379
Y6Zn2Zr2Ni6O24,-2.326
La1Y4Zn3Co8O24,-2.503
La1Y4Zn3Fe8O24,-2.929
La1Y4Zn3Mn8O24,-3.27
La1Y4Zn3Ni8O24,-2.052
Ba8Hf4Fe4O24,-2.282
Ba8Hf6Fe2O24,-1.729
Ba8Hf7Fe1O24,-1.589
Ba8Zr4Fe4O24,-2.469
Ba8Zr7Fe1O24,-1.638
Ca8Fe8O24,-2.637
Ba7Ca1Fe8O24,-1.872
Ba6Ca2Fe8O24,-2
Ba4Ca4Fe8O24,-2.242
Ba2Ca6Fe8O24,-2.479
Ba7Ce1Fe8O24,-2.186
Ba6Ce2Fe8O24,-2.578
Dy8Fe8O24,-4.189
Ba7Dy1Fe8O24,-2.003
Ba6Dy2Fe8O24,-2.282
Ba4Dy4Fe8O24,-2.817
Ba2Dy6Fe8O24,-3.482
Gd8Fe8O24,-4.163
Ba7Gd1Fe8O24,-2.065
Ba6Gd2Fe8O24,-2.319
Ba4Gd4Fe8O24,-2.65
Ba2Gd6Fe8O24,-3.293
Ho8Fe8O24,-4.214
Ba7Ho1Fe8O24,-2.014
Ba6Ho2Fe8O24,-2.283
Ba4Ho4Fe8O24,-2.815
Ba2Ho6Fe8O24,-3.543
Ba7La1Fe8O24,-2.084
Ba7La1Fe7Co1O24,-2.008
Ba7La1Fe6Co2O24,-1.972
Ba7La1Fe4Co4O24,-2.079
Ba6La2Fe8O24,-2.341
Ba6La2Fe7Co1O24,-2.337
Ba6La2Fe4Co4O24,-2.182
Ba4La4Fe6Co2O24,-2.877
Mg8Fe8O24,-2.282
Ba7Mg1Fe8O24,-1.859
Ba6Mg2Fe8O24,-1.927
Ba4Mg4Fe8O24,-2.086
Ba2Mg6Fe8O24,-2.214
Nd8Fe8O24,-3.758
Ba7Nd1Fe8O24,-1.984
Ba6Nd2Fe8O24,-2.171
Ba4Nd4Fe8O24,-2.674
Ba2Nd6Fe8O24,-3.17
Ba7Pr1Fe8O24,-1.969
Ba6Pr2Fe8O24,-2.141
Sm8Fe8O24,-3.981
Ba7Sm1Fe8O24,-2.005
Ba6Sm2Fe8O24,-2.217
